year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,wtssnrps,prez,age_c,decrease_imm
2010,33,16,3,2,1,1,1,3,54195.75,0.39567769,1,30,0
2010,53,16,3,2,1,0,1,4,152908.1861,0.943851957,1,50,1
2010,63,20,4,2,1,0,1,,,0.974039425,1,60,
2010,34,18,4,1,1,2,1,,152908.1861,0.895335147,1,30,
2010,75,15,2,1,1,0,1,3,,1.06251975,1,70,0
2010,78,16,3,2,1,2,2,,,0.936236673,1,70,
2010,57,15,1,1,1,3,1,4,112406,0.494301212,1,50,1
2010,43,18,4,1,1,3,2,2,,0.890253765,1,40,0
2010,84,16,3,2,1,0,1,,44159.5,0.445382615,1,80,
2010,53,16,4,1,1,3,1,4,112406,0.925808286,1,50,1
2010,83,13,1,2,1,0,2,3,54195.75,0.511644012,1,80,0
2010,69,18,4,1,1,0,2,2,152908.1861,1.86176075,1,60,0
2010,24,17,3,1,1,1,1,,15054.375,1.625590126,1,18,
2010,33,18,4,1,3,0,2,2,54195.75,2.882572254,1,30,0
2010,23,13,1,2,1,4,1,5,,0.998822833,1,18,1
2010,25,17,4,1,3,2,1,2,66239.25,0.719323029,1,18,0
2010,66,19,4,2,1,3,1,,,1.15070767,1,60,
2010,20,13,1,1,3,3,1,3,17061.625,2.09610968,1,18,0
2010,37,13,1,2,1,1,1,,66239.25,1.548564406,1,30,
2010,64,12,1,1,2,0,2,,22079.75,0.800745993,1,60,
2010,45,12,1,1,1,4,2,3,54195.75,0.643128761,1,40,0
2010,40,12,1,2,3,0,1,2,,4.520879312,1,40,0
2010,80,16,3,1,2,2,2,,44159.5,0.875612724,1,80,
2010,60,15,1,1,1,4,1,3,96348,2.040909771,1,60,0
2010,49,16,3,1,1,5,2,2,152908.1861,1.016347039,1,40,0
2010,22,15,3,2,1,2,2,,54195.75,1.057029694,1,18,
2010,63,20,4,2,1,4,2,4,96348,1.084854214,1,60,1
2010,72,16,3,1,1,4,2,3,11039.875,0.5118131,1,70,0
2010,42,14,0,2,2,5,2,,80290,1.873532042,1,40,
2010,54,16,3,2,2,3,2,,152908.1861,1.215038804,1,50,
2010,21,13,1,2,2,4,1,3,17061.625,1.40830305,1,18,0
2010,26,16,3,2,1,0,1,3,26094.25,0.456877403,1,18,0
2010,31,16,3,1,1,2,1,3,54195.75,0.695296581,1,30,0
2010,41,14,2,2,2,4,2,2,2810.15,0.606371635,1,40,0
2010,84,6,0,2,1,3,1,3,,1.631294814,1,80,0
2010,19,12,1,1,3,,1,,,1.483139357,1,18,
2010,34,16,3,1,1,7,1,3,,1.731370661,1,30,0
2010,44,16,3,2,1,6,2,,80290,1.349794005,1,40,
2010,45,12,1,1,1,3,2,4,44159.5,1.441301187,1,40,1
2010,28,9,1,1,1,1,2,4,401.45,2.997340784,1,18,1
2010,46,12,1,1,1,3,2,3,13047.125,1.198789384,1,40,0
2010,50,13,1,2,1,1,2,5,54195.75,1.48954917,1,50,1
2010,40,13,1,1,1,6,2,,112406,0.895710072,1,40,
2010,42,20,4,2,1,2,1,,152908.1861,0.56432932,1,40,
2010,19,11,0,2,3,3,1,,,4.837580316,1,18,
2010,53,14,2,1,1,3,1,4,36130.5,0.531099611,1,50,1
2010,39,14,2,2,1,0,2,5,36130.5,0.454544281,1,30,1
2010,40,16,3,2,1,5,2,4,36130.5,0.429341911,1,40,1
2010,44,12,1,2,1,3,2,3,112406,3.62556725,1,40,0
2010,58,12,1,1,1,6,2,5,112406,0.796336336,1,50,1
2010,46,14,2,1,1,3,2,3,54195.75,3.137560076,1,40,0
2010,66,12,1,2,1,2,1,,96348,0.511644012,1,60,
2010,48,18,4,2,1,0,2,4,152908.1861,0.749830644,1,40,1
2010,88,12,1,1,1,5,2,5,66239.25,1.113885841,1,80,1
2010,45,14,2,2,1,2,2,,54195.75,0.633121365,1,40,
2010,38,12,1,1,1,6,2,4,,0.519168105,1,30,1
2010,22,14,1,2,2,2,2,3,9032.625,0.435226964,1,18,0
2010,23,16,3,1,1,2,1,,96348,2.513537708,1,18,
2010,41,16,3,2,1,1,1,4,80290,0.429341911,1,40,1
2010,23,12,1,2,1,3,1,,13047.125,2.707564123,1,18,
2010,60,12,1,1,1,5,2,5,54195.75,0.796336336,1,60,1
2010,80,6,0,2,1,4,1,1,30108.75,0.833742347,1,80,0
2010,56,8,0,2,1,2,2,,30108.75,2.292243185,1,50,
2010,43,16,3,2,2,1,1,3,,1.839697881,1,40,0
2010,31,16,3,2,2,0,2,2,,0.984338107,1,30,0
2010,24,8,0,2,1,0,1,,401.45,0.572013694,1,18,
2010,39,16,2,2,2,0,2,5,112406,1.688194503,1,30,1
2010,20,12,0,1,3,2,1,3,1605.8,1.830144038,1,18,0
2010,55,16,3,1,3,3,1,,66239.25,0.96239364,1,50,
2010,45,14,1,2,1,1,1,5,,0.92263561,1,40,1
2010,50,12,1,1,1,3,2,,,2.946826061,1,50,
2010,69,16,4,2,1,6,2,4,66239.25,1.133507848,1,60,1
2010,50,16,3,2,3,0,1,,54195.75,1.365921138,1,50,
2010,31,11,1,1,3,4,1,3,1605.8,3.311617868,1,30,0
2010,59,12,1,2,1,3,1,3,44159.5,0.981409634,1,50,0
2010,50,13,1,2,1,0,2,2,54195.75,0.845437463,1,50,0
2010,51,16,3,1,1,5,2,5,152908.1861,0.805520216,1,50,1
2010,68,12,1,2,1,5,2,2,54195.75,1.736283063,1,60,0
2010,61,20,4,1,1,2,2,5,112406,0.46231858,1,60,1
2010,50,16,3,2,1,0,2,3,,0.502697284,1,50,0
2010,51,16,3,2,1,5,2,4,152908.1861,1.318288944,1,50,1
2010,43,18,4,2,1,3,2,5,152908.1861,2.20237309,1,40,1
2010,19,11,0,1,2,5,2,3,66239.25,0.70735449,1,18,0
2010,35,16,3,2,1,2,2,,80290,1.080169047,1,30,
2010,64,16,4,1,1,2,2,,152908.1861,0.679123585,1,60,
2010,44,13,1,2,1,5,2,5,,0.896757939,1,40,1
2010,40,19,4,1,1,5,1,,80290,0.891604805,1,40,
2010,59,16,3,1,1,5,2,1,80290,0.46231858,1,50,0
2010,36,16,3,1,1,5,1,4,54195.75,1.655322089,1,30,1
2010,65,13,1,2,1,2,2,,,2.513804864,1,60,
2010,46,20,4,2,3,5,1,4,,0.608425231,1,40,1
2010,33,12,1,2,3,5,1,3,13047.125,0.498790684,1,30,0
2010,21,9,0,2,3,1,2,3,19068.875,1.742299985,1,18,0
2010,24,13,1,2,1,6,1,4,54195.75,0.686301566,1,18,1
2010,36,11,0,1,3,2,1,,44159.5,0.703509321,1,30,
2010,27,15,2,2,3,2,1,2,17061.625,0.815683625,1,18,0
2010,32,12,1,2,1,1,2,,80290,0.623183757,1,30,
2010,68,14,1,1,1,3,2,4,,1.120954679,1,60,1
2010,63,13,1,1,1,5,2,,54195.75,1.234598514,1,60,
2010,80,18,3,2,1,2,2,3,,0.653870657,1,80,0
2010,72,18,3,1,1,0,2,5,80290,1.192475698,1,70,1
2010,24,10,0,1,3,2,1,3,22079.75,2.248428469,1,18,0
2010,37,16,3,2,1,2,1,,,0.626766045,1,30,
2010,45,8,0,1,1,2,1,3,30108.75,0.8413228,1,40,0
2010,52,8,0,1,3,2,1,3,30108.75,4.764430147,1,50,0
2010,49,16,4,1,1,3,1,,152908.1861,2.784094794,1,40,
2010,42,3,0,1,1,1,1,3,44159.5,1.984165501,1,40,0
2010,42,11,0,1,1,1,2,3,17061.625,0.521096338,1,40,0
2010,37,12,1,2,1,7,2,,66239.25,1.133061377,1,30,
2010,35,12,1,2,1,0,2,3,80290,1.080188219,1,30,0
2010,51,14,1,1,1,5,1,,152908.1861,1.060944504,1,50,
2010,66,16,4,1,3,5,1,3,66239.25,1.90907482,1,60,0
2010,28,15,1,1,1,5,2,4,96348,1.894411398,1,18,1
2010,39,14,1,2,1,2,2,,66239.25,0.463841739,1,30,
2010,47,17,1,1,1,3,2,,152908.1861,1.172708529,1,40,
2010,48,16,3,1,1,5,1,3,152908.1861,0.671979325,1,40,0
2010,49,20,4,2,3,4,1,3,152908.1861,3.104351205,1,40,0
2010,20,12,1,1,1,1,2,4,96348,1.026382935,1,18,1
2010,70,2,0,2,3,3,2,2,13047.125,0.868647073,1,70,0
2010,42,6,0,1,1,2,2,1,,0.733579967,1,40,0
2010,35,9,0,1,1,2,2,3,9032.625,2.026113304,1,30,0
2010,40,12,1,2,1,3,2,,26094.25,0.69494131,1,40,
2010,68,20,4,1,3,2,1,1,152908.1861,2.609762104,1,60,0
2010,34,16,3,1,3,5,1,,,1.318126869,1,30,
2010,30,13,1,1,3,3,1,5,66239.25,0.83649828,1,30,1
2010,25,9,0,1,3,1,2,3,26094.25,1.531289557,1,18,0
2010,36,6,0,1,1,1,1,3,36130.5,0.923159422,1,30,0
2010,54,12,1,2,1,4,1,4,44159.5,0.456573723,1,50,1
2010,58,15,1,1,1,0,1,3,,7.664102664,1,50,0
2010,55,12,1,2,2,1,1,5,19068.875,0.505651802,1,50,1
2010,34,8,0,2,3,2,2,,11039.875,0.832639429,1,30,
2010,29,16,3,1,2,0,2,4,44159.5,0.830044387,1,18,1
2010,20,14,1,2,3,5,1,4,11039.875,0.675176412,1,18,1
2010,41,12,1,2,2,0,2,,36130.5,0.43148971,1,40,
2010,40,19,4,2,1,0,1,4,80290,0.452954238,1,40,1
2010,71,16,3,1,1,6,2,,66239.25,0.536680862,1,70,
2010,23,14,1,1,1,1,1,3,19068.875,1.444609844,1,18,0
2010,49,14,1,1,1,7,2,,13047.125,1.080582869,1,40,
2010,44,15,2,1,1,2,1,,6021.75,3.838773814,1,40,
2010,20,13,1,2,1,7,1,3,36130.5,2.012172557,1,18,0
2010,24,17,3,1,1,2,2,4,5218.85,1.364061784,1,18,1
2010,29,12,1,1,1,1,2,2,66239.25,0.632436842,1,18,0
2010,56,20,4,2,1,2,2,,152908.1861,0.578722741,1,50,
2010,24,12,1,1,1,3,1,5,44159.5,3.162184209,1,18,1
2010,60,14,1,1,1,2,2,,44159.5,1.234598514,1,60,
2010,52,16,4,1,1,5,2,5,,2.427663855,1,50,1
2010,51,12,1,2,1,5,1,4,44159.5,3.802316137,1,50,1
2010,64,14,2,2,1,2,2,3,26094.25,1.626459477,1,60,0
2010,23,17,1,2,1,1,2,3,,0.767872115,1,18,0
2010,46,12,0,1,1,6,1,,96348,3.745200502,1,40,
2010,34,17,3,1,1,1,2,2,80290,0.737343675,1,30,0
2010,29,16,3,2,3,1,1,2,13047.125,0.865462967,1,18,0
2010,28,19,4,2,1,0,1,2,54195.75,1.647447756,1,18,0
2010,39,15,2,2,1,6,1,2,112406,1.389543076,1,30,0
2010,33,20,4,1,1,2,1,,66239.25,0.68123713,1,30,
2010,24,11,1,2,2,5,2,5,19068.875,0.379406888,1,18,1
2010,34,12,1,2,3,5,1,,11039.875,0.473573834,1,30,
2010,24,16,3,1,1,0,2,5,11039.875,1.539597759,1,18,1
2010,30,16,3,1,1,5,2,,66239.25,0.838502394,1,30,
2010,25,16,3,1,1,2,2,3,22079.75,0.550531947,1,18,0
2010,41,16,3,2,1,0,1,3,80290,0.452954238,1,40,0
2010,37,15,2,1,3,0,1,3,80290,1.680038045,1,30,0
2010,48,16,3,2,1,2,2,,80290,0.452954238,1,40,
2010,28,13,1,1,1,3,1,1,7226.1,1.492756025,1,18,0
2010,30,20,4,2,1,7,2,3,80290,0.806391832,1,30,0
2010,34,19,4,2,3,4,2,,80290,0.591556917,1,30,
2010,67,16,3,1,3,3,1,3,152908.1861,2.48040951,1,60,0
2010,64,18,4,2,1,1,1,3,96348,2.109267291,1,60,0
2010,80,20,4,1,1,6,2,,152908.1861,0.975783385,1,80,
2010,52,13,1,1,1,3,1,,96348,2.992966094,1,50,
2010,29,16,3,2,3,0,1,,44159.5,0.806590429,1,18,
2010,24,14,1,1,2,3,2,1,,1.929255605,1,18,0
2010,42,20,4,2,2,0,2,,80290,0.55766761,1,40,
2010,89,17,4,2,2,0,2,5,,0.31817649,1,80,1
2010,61,2,0,2,2,0,2,2,,0.529558042,1,60,0
2010,35,12,1,1,2,0,1,,26094.25,0.37088804,1,30,
2010,44,12,1,1,2,0,2,3,36130.5,0.70697167,1,40,0
2010,60,13,1,2,2,0,2,3,66239.25,1.450962525,1,60,0
2010,28,14,1,1,2,2,2,5,401.45,0.778642769,1,18,1
2010,27,16,3,1,1,1,1,,13047.125,0.449557066,1,18,
2010,38,17,3,1,1,1,1,3,112406,1.462071927,1,30,0
2010,34,16,3,2,1,2,2,3,26094.25,0.573421927,1,30,0
2010,18,11,0,2,3,2,1,1,3613.05,1.065285631,1,18,0
2010,35,5,0,2,1,3,2,,401.45,0.541639414,1,30,
2010,29,12,1,2,3,3,1,2,11039.875,2.832222204,1,18,0
2010,32,6,0,2,1,3,2,1,6021.75,1.229922955,1,30,0
2010,63,18,4,2,2,0,2,3,,0.289164096,1,60,0
2010,80,12,1,2,2,0,2,5,9032.625,0.365512911,1,80,1
2010,52,16,4,1,3,6,1,3,26094.25,0.422609697,1,50,0
2010,25,16,3,2,1,0,2,,36130.5,1.485011842,1,18,
2010,70,12,1,2,1,7,1,,44159.5,0.440779351,1,70,
2010,35,20,4,1,3,2,1,2,152908.1861,0.551735139,1,30,0
2010,41,17,3,2,1,0,2,2,152908.1861,0.467367153,1,40,0
2010,24,17,3,2,2,0,1,,17061.625,0.326388241,1,18,
2010,60,17,3,1,1,2,2,3,152908.1861,0.626895405,1,60,0
2010,55,12,1,1,1,2,2,,66239.25,0.457540274,1,50,
2010,23,14,1,1,1,5,2,5,80290,3.78354324,1,18,1
2010,68,16,3,2,1,1,2,,96348,0.383695412,1,60,
2010,22,16,3,2,1,0,1,2,,0.992416267,1,18,0
2010,58,17,3,1,1,2,1,,44159.5,0.8112235,1,50,
2010,55,20,4,1,1,2,2,3,26094.25,0.531929234,1,50,0
2010,75,16,3,1,3,2,1,3,54195.75,1.387579129,1,70,0
2010,66,14,1,1,1,7,2,3,152908.1861,0.74928203,1,60,0
2010,76,12,1,2,1,2,2,,66239.25,1.602834003,1,70,
2010,79,12,1,1,1,5,1,3,36130.5,0.743811705,1,70,0
2010,29,17,3,2,1,1,2,3,80290,0.454230448,1,18,0
2010,60,16,3,2,1,0,2,,66239.25,0.873973216,1,60,
2010,36,14,1,2,1,1,2,,112406,0.587952712,1,30,
2010,75,15,1,1,1,6,1,,96348,0.880364597,1,70,
2010,48,15,1,2,1,2,1,3,54195.75,1.19227055,1,40,0
2010,35,11,0,2,1,6,2,4,66239.25,0.482892386,1,30,1
2010,54,14,1,1,1,1,2,,96348,1.396273632,1,50,
2010,45,14,1,1,1,2,2,,80290,0.771650786,1,40,
2010,58,16,3,2,1,5,2,,66239.25,0.472577294,1,50,
2010,46,16,3,2,1,0,1,5,80290,1.476677914,1,40,1
2010,36,15,2,2,2,1,2,,44159.5,0.421987813,1,30,
2010,58,13,1,2,3,0,2,,22079.75,1.438551079,1,50,
2010,40,16,3,2,1,5,1,3,36130.5,0.766655343,1,40,0
2010,44,12,1,2,1,0,2,,36130.5,1.015448507,1,40,
2010,59,19,3,1,1,3,1,3,66239.25,0.600693082,1,50,0
2010,80,12,1,2,1,0,1,5,11039.875,0.440779351,1,80,1
2010,72,12,1,2,1,3,2,4,11039.875,0.440779351,1,70,1
2010,76,12,1,2,1,2,2,,22079.75,0.926560173,1,70,
2010,65,13,1,2,1,6,2,3,54195.75,1.114716954,1,60,0
2010,43,20,3,2,1,3,2,3,54195.75,0.591693086,1,40,0
2010,73,12,1,2,1,1,2,5,66239.25,0.46310393,1,70,1
2010,27,14,1,2,1,2,2,4,96348,3.19562532,1,18,1
2010,73,16,3,1,1,4,2,4,,1.236866733,1,70,1
2010,60,20,4,2,1,1,1,,152908.1861,0.766148953,1,60,
2010,42,14,2,2,2,2,1,,36130.5,1.320053584,1,40,
2010,51,18,4,1,1,2,2,1,80290,0.418458042,1,50,0
2010,21,15,1,1,1,4,2,4,,2.421205857,1,18,1
2010,30,7,0,2,1,0,2,5,6021.75,0.692773269,1,30,1
2010,45,12,1,2,1,2,2,3,44159.5,1.358800374,1,40,0
2010,35,12,1,2,3,3,1,,,0.567309973,1,30,
2010,79,13,1,2,1,5,1,3,,0.499033845,1,70,0
2010,67,20,4,1,1,5,2,,112406,0.489648685,1,60,
2010,19,14,1,2,1,2,1,3,152908.1861,1.667618115,1,18,0
2010,76,16,3,1,1,6,2,4,152908.1861,0.770525981,1,70,1
2010,70,16,3,2,1,0,2,2,152908.1861,0.403128805,1,70,0
2010,60,18,4,1,1,0,2,,152908.1861,0.760832804,1,60,
2010,47,16,4,1,1,2,1,4,22079.75,0.443859644,1,40,1
2010,57,17,3,2,1,2,2,4,44159.5,0.366370176,1,50,1
2010,75,16,3,2,1,6,2,3,44159.5,0.403128805,1,70,0
2010,43,16,3,1,1,6,2,,112406,0.875820238,1,40,
2010,45,16,3,2,1,2,1,3,152908.1861,1.509559363,1,40,0
2010,29,12,1,2,3,3,1,3,19068.875,0.825059441,1,18,0
2010,38,10,0,1,1,1,2,5,11039.875,0.792020157,1,30,1
2010,25,12,1,2,1,2,1,2,36130.5,1.899931009,1,18,0
2010,37,16,3,2,3,2,1,3,152908.1861,1.314398128,1,30,0
2010,63,16,3,2,1,0,1,,26094.25,0.366370176,1,60,
2010,62,16,3,1,2,3,2,2,80290,0.708700811,1,60,0
2010,28,15,3,1,2,3,1,,44159.5,0.712132564,1,18,
2010,61,16,3,1,2,2,1,,152908.1861,0.529200277,1,60,
2010,47,16,3,1,2,0,2,2,152908.1861,1.242615036,1,40,0
2010,55,14,2,1,1,3,1,,9032.625,1.487355287,1,50,
2010,48,13,1,2,2,5,2,4,54195.75,1.050552247,1,40,1
2010,49,12,1,1,1,6,2,5,96348,0.925676045,1,40,1
2010,20,13,1,1,3,2,1,3,26094.25,2.733760788,1,18,0
2010,24,17,1,1,3,7,1,3,2810.15,2.679212442,1,18,0
2010,24,16,3,1,1,4,2,4,1605.8,2.318407462,1,18,1
2010,26,16,1,2,1,3,2,,30108.75,0.962729294,1,18,
2010,27,19,3,1,1,4,2,3,401.45,2.340580408,1,18,0
2010,48,20,4,1,1,0,2,,54195.75,0.705737823,1,40,
2010,54,16,3,2,1,1,2,3,112406,0.629212665,1,50,0
2010,64,17,4,2,1,0,1,3,96348,0.829569215,1,60,0
2010,23,15,1,2,3,5,1,,401.45,2.42104927,1,18,
2010,73,13,1,1,1,0,1,3,6021.75,0.492295611,1,70,0
2010,30,12,1,1,3,5,1,4,36130.5,1.506698757,1,30,1
2010,53,13,1,2,2,0,2,5,13047.125,0.795473802,1,50,1
2010,39,15,1,1,1,5,1,5,44159.5,0.469914206,1,30,1
2010,39,13,1,1,2,3,2,3,22079.75,0.389672766,1,30,0
2010,50,12,1,1,3,5,2,4,44159.5,0.474730365,1,50,1
2010,65,20,4,1,1,4,1,5,152908.1861,1.610942979,1,60,1
2010,51,12,1,2,1,5,1,,80290,0.665122626,1,50,
2010,29,12,1,1,1,2,1,,26094.25,1.26268641,1,18,
2010,20,12,1,2,3,3,2,,15054.375,0.781083067,1,18,
2010,50,12,0,1,1,1,1,1,54195.75,1.023482176,1,50,0
2010,72,12,1,2,1,1,2,4,152908.1861,0.440262992,1,70,1
2010,68,13,1,1,2,0,2,4,66239.25,0.648039852,1,60,1
2010,41,14,1,1,1,1,1,5,,1.816837278,1,40,1
2010,63,20,4,1,1,4,2,,66239.25,0.870500421,1,60,
2010,62,16,3,1,1,2,1,4,152908.1861,0.973747109,1,60,1
2010,52,15,2,2,3,2,2,,11039.875,0.446580251,1,50,
2010,39,16,3,2,1,0,2,4,96348,0.418132898,1,30,1
2010,46,8,0,1,3,1,1,2,36130.5,3.881472295,1,40,0
2010,19,11,0,1,1,5,2,,80290,2.379069138,1,18,
2010,45,16,3,1,1,0,2,3,36130.5,0.443859644,1,40,0
2010,72,17,4,1,1,4,1,,22079.75,0.628989308,1,70,
2010,77,6,0,2,3,6,2,3,9032.625,0.588556434,1,70,0
2010,26,12,1,2,1,2,2,,,1.390974071,1,18,
2010,48,20,4,1,1,0,1,5,54195.75,0.825451254,1,40,1
2010,65,13,1,1,1,4,2,5,36130.5,1.031239916,1,60,1
2010,79,12,1,2,2,0,2,3,22079.75,1.207419555,1,70,0
2010,82,16,3,1,2,0,2,,,0.39054005,1,80,
2010,51,12,1,1,2,0,2,5,,0.407733594,1,50,1
2010,38,16,3,2,2,1,1,3,30108.75,0.737629966,1,30,0
2010,46,13,1,2,2,0,2,,22079.75,1.54240934,1,40,
2010,47,12,1,1,1,1,2,2,44159.5,0.94825702,1,40,0
2010,40,12,1,2,2,1,2,5,30108.75,0.613376339,1,40,1
2010,56,14,2,1,1,3,2,3,66239.25,0.410938875,1,50,0
2010,79,12,1,2,1,3,2,,15054.375,0.719791064,1,70,
2010,43,12,1,2,1,0,1,2,26094.25,2.465567245,1,40,0
2010,37,10,0,2,2,4,2,3,7226.1,0.692682786,1,30,0
2010,30,12,1,2,3,4,1,,54195.75,1.099252252,1,30,
2010,29,10,0,1,2,2,1,3,36130.5,0.891638138,1,18,0
2010,79,12,1,2,1,6,1,4,13047.125,0.473682049,1,70,1
2010,71,12,1,1,1,1,2,,19068.875,1.062576847,1,70,
2010,20,12,1,1,2,1,2,3,54195.75,0.746893865,1,18,0
2010,40,14,1,2,2,0,2,,44159.5,0.37865041,1,40,
2010,27,14,1,1,3,3,1,4,152908.1861,0.863866135,1,18,1
2010,85,12,1,2,1,5,1,3,6021.75,0.632624625,1,80,0
2010,62,18,3,2,1,6,2,,44159.5,0.847763682,1,60,
2010,29,9,1,2,2,0,2,3,30108.75,0.402934844,1,18,0
2010,30,12,1,1,2,1,2,3,5218.85,0.398573587,1,30,0
2010,28,18,3,2,2,0,2,,36130.5,0.350752028,1,18,
2010,80,14,1,2,3,0,1,1,13047.125,0.624750411,1,80,0
2010,27,18,4,2,2,0,2,,54195.75,0.350752028,1,18,
2010,38,8,0,2,1,2,2,3,54195.75,1.338989157,1,30,0
2010,35,13,1,2,3,5,2,1,44159.5,2.548890171,1,30,0
2010,32,4,0,1,3,,2,2,4415.95,0.813029612,1,30,0
2010,67,20,4,2,1,0,2,2,54195.75,0.577173326,1,60,0
2010,69,12,1,2,1,5,2,,17061.625,0.996006931,1,60,
2010,55,16,3,1,1,5,2,5,,0.42801637,1,50,1
2010,40,12,1,2,1,5,2,5,22079.75,1.720829325,1,40,1
2010,81,16,4,1,1,0,1,2,80290,0.47096008,1,80,0
2010,56,14,2,2,1,6,1,5,66239.25,3.429693522,1,50,1
2010,19,13,1,1,1,1,2,3,44159.5,1.465168001,1,18,0
2010,25,16,4,2,1,3,2,,9032.625,0.422978906,1,18,
2010,27,16,3,1,1,4,2,3,36130.5,0.483114992,1,18,0
2010,18,12,0,1,2,3,2,2,30108.75,1.536117641,1,18,0
2010,35,20,4,2,2,1,2,3,80290,1.674511982,1,30,0
2010,51,12,1,1,1,4,2,5,44159.5,0.49169412,1,50,1
2010,19,10,0,2,1,3,2,4,,0.587364539,1,18,1
2010,50,13,1,1,1,3,2,5,,0.662758558,1,50,1
2010,53,16,3,2,1,1,2,3,96348,1.47554493,1,50,0
2010,53,13,1,2,1,4,2,4,5218.85,0.58026121,1,50,1
2010,67,13,1,1,1,1,2,2,11039.875,0.729254406,1,60,0
2010,40,12,1,2,2,0,2,3,17061.625,1.02077202,1,40,0
2010,59,16,3,1,1,0,1,4,54195.75,1.320929007,1,50,1
2010,54,14,2,2,1,0,2,5,9032.625,1.322553324,1,50,1
2010,55,12,1,1,2,1,2,1,54195.75,0.957573064,1,50,0
2010,29,10,1,1,3,2,1,,17061.625,2.212090338,1,18,
2010,66,14,2,1,2,0,2,3,7226.1,0.604728647,1,60,0
2010,77,12,1,1,3,7,2,,,1.499071517,1,70,
2010,43,12,1,1,2,4,2,2,17061.625,2.331796027,1,40,0
2010,45,12,1,2,1,3,1,,13047.125,1.005591212,1,40,
2010,69,4,0,1,2,2,1,5,6021.75,4.612018177,1,60,1
2010,54,9,0,1,1,6,1,,26094.25,0.722316368,1,50,
2010,46,14,1,2,1,1,1,1,36130.5,1.431147618,1,40,0
2010,40,11,1,1,1,1,1,,17061.625,0.873823951,1,40,
2010,72,5,0,1,1,0,2,3,,1.388050545,1,70,0
2010,60,12,1,2,3,3,2,2,17061.625,3.70131249,1,60,0
2010,81,12,1,1,1,0,1,,30108.75,1.912845284,1,80,
2010,30,15,1,2,1,1,1,3,54195.75,2.039234851,1,30,0
2010,41,17,3,2,1,0,1,1,36130.5,1.598043613,1,40,0
2010,38,15,1,2,1,3,1,3,66239.25,0.705067048,1,30,0
2010,70,12,1,2,1,1,1,5,44159.5,2.838652087,1,70,1
2010,54,12,1,1,1,5,2,4,66239.25,0.748050158,1,50,1
2010,37,15,1,2,1,3,2,,44159.5,0.367447957,1,30,
2010,65,19,4,1,1,1,1,4,15054.375,0.41122992,1,60,1
2010,20,12,1,2,1,1,1,4,13047.125,0.475667175,1,18,1
2010,43,13,0,2,2,3,2,,54195.75,0.744243994,1,40,
2010,48,12,1,2,2,0,2,3,30108.75,0.601141001,1,40,0
2010,59,12,1,1,2,1,2,2,22079.75,0.356022219,1,50,0
2010,43,14,1,1,2,5,1,4,54195.75,0.995083589,1,40,1
2010,81,12,1,2,1,0,1,,4415.95,0.413606671,1,80,
2010,67,17,3,1,1,6,2,5,152908.1861,0.68416203,1,60,1
2010,56,13,1,2,1,2,2,,36130.5,0.375892636,1,50,
2010,65,14,2,2,1,4,1,5,54195.75,1.00227857,1,60,1
2010,21,10,1,2,2,1,2,3,11039.875,0.351832078,1,18,0
2010,59,14,2,2,1,5,2,3,80290,1.492616795,1,50,0
2010,54,12,1,2,2,0,2,,401.45,0.311706098,1,50,
