age,age_cat,coninc,coninc_quantiles,degree,ethnic,hs_or_college,race,region,sex,talkspvs,year,vstrat,vpsu,wtsscomp
26,18-29,22079.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,West South Central,Male,,2010,2357.0,2.0,2.315638421
49,40-49,17061.625,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,West South Central,Male,,2010,2357.0,2.0,1.389383053
55,50-59,,,No degree,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,0.926255368
43,40-49,36130.5,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,1.389383053
59,50-59,36130.5,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,Other,West South Central,Male,,2010,2357.0,2.0,0.926255368
44,40-49,26094.25,"(18455.0, 36306.0]",HS or assoc,Mexico,Some college,White,West South Central,Male,,2010,2357.0,2.0,0.463127684
42,40-49,2810.15,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,West South Central,Female,,2010,2357.0,2.0,0.926255368
43,40-49,22079.75,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,1.68410067
49,40-49,13047.125,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Black,West South Central,Female,,2010,2357.0,2.0,0.926255368
38,30-39,44159.5,"(36306.0, 60354.0]",College,Mexico,Some college,White,West South Central,Female,,2010,2357.0,2.0,0.463127684
19,18-29,,,No degree,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,1.68410067
25,18-29,4415.95,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,0.463127684
53,50-59,26094.25,"(18455.0, 36306.0]",No degree,Mexico,HS or less,Other,West South Central,Male,,2010,2357.0,2.0,2.778766105
38,30-39,11039.875,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,West South Central,Female,,2010,2357.0,2.0,0.463127684
41,40-49,36130.5,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,0.926255368
51,50-59,22079.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,0.926255368
60,60-69,2810.15,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,1.389383053
35,30-39,15054.375,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,0.926255368
38,30-39,44159.5,"(36306.0, 60354.0]",College,Mexico,Some college,White,West South Central,Male,,2010,2357.0,2.0,0.926255368
49,40-49,19068.875,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,0.926255368
76,70+,22079.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,West South Central,Male,,2010,2357.0,2.0,0.926255368
23,18-29,13047.125,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,West South Central,Male,,2010,2357.0,2.0,0.463127684
20,18-29,19068.875,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2357.0,2.0,1.852510737
43,40-49,3613.05,"(335.999, 18455.0]",HS or assoc,Africa,Some college,Black,South Atlantic,Female,,2010,2358.0,2.0,0.926255368
18,18-29,19068.875,"(18455.0, 36306.0]",No degree,Africa,HS or less,Black,South Atlantic,Male,,2010,2358.0,2.0,1.389383053
81,70+,4415.95,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Female,,2010,2358.0,2.0,0.463127684
27,18-29,9032.625,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Female,,2010,2358.0,2.0,0.463127684
60,60-69,,,No degree,Mexico,HS or less,Other,Pacific,Female,,2010,2359.0,2.0,0.926255368
63,60-69,30108.75,"(18455.0, 36306.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2010,2359.0,2.0,0.926255368
21,18-29,54195.75,"(36306.0, 60354.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2010,2359.0,2.0,2.315638421
79,70+,,,No degree,Africa,HS or less,Black,Pacific,Female,,2010,2359.0,2.0,0.463127684
18,18-29,36130.5,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2010,2359.0,2.0,1.389383053
27,18-29,13047.125,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2010,2359.0,2.0,0.463127684
68,60-69,13047.125,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2010,2359.0,2.0,0.926255368
18,18-29,,,HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2010,2359.0,2.0,0.926255368
43,40-49,9032.625,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2010,2359.0,2.0,0.926255368
45,40-49,80290.0,"(60354.0, 180386.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Male,,2010,2359.0,2.0,1.852510737
20,18-29,30108.75,"(18455.0, 36306.0]",No degree,Africa,HS or less,Black,Pacific,Female,,2010,2359.0,2.0,0.926255368
57,50-59,9032.625,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2010,2359.0,2.0,0.463127684
55,50-59,11039.875,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,Pacific,Male,,2010,2360.0,1.0,0.463127684
30,30-39,30108.75,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Male,,2010,2361.0,1.0,0.926255368
18,18-29,,,No degree,Africa,HS or less,Black,Pacific,Male,,2010,2361.0,1.0,1.852510737
21,18-29,9032.625,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2010,2361.0,1.0,0.926255368
38,30-39,44159.5,"(36306.0, 60354.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2010,2361.0,1.0,0.926255368
33,30-39,13047.125,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2010,2361.0,1.0,1.852510737
28,18-29,13047.125,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,Pacific,Male,,2010,2361.0,1.0,1.68410067
