year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,43,18,4,2,1,3,2,5,152908.1861,2255,1,2.20237309,1,40,1
2010,19,11,0,1,2,5,2,3,66239.25,2255,1,0.70735449,1,18,0
2010,35,16,3,2,1,2,2,,80290,2255,1,1.080169047,1,30,
2010,64,16,4,1,1,2,2,,152908.1861,2255,1,0.679123585,1,60,
2010,44,13,1,2,1,5,2,5,,2255,2,0.896757939,1,40,1
2010,40,19,4,1,1,5,1,,80290,2255,2,0.891604805,1,40,
2010,59,16,3,1,1,5,2,1,80290,2255,2,0.46231858,1,50,0
2010,36,16,3,1,1,5,1,4,54195.75,2255,2,1.655322089,1,30,1
2010,65,13,1,2,1,2,2,,,2255,2,2.513804864,1,60,
2010,46,20,4,2,3,5,1,4,,2255,2,0.608425231,1,40,1
2010,33,12,1,2,3,5,1,3,13047.125,2256,1,0.498790684,1,30,0
2010,21,9,0,2,3,1,2,3,19068.875,2256,1,1.742299985,1,18,0
2010,24,13,1,2,1,6,1,4,54195.75,2256,1,0.686301566,1,18,1
2010,36,11,0,1,3,2,1,,44159.5,2256,1,0.703509321,1,30,
2010,27,15,2,2,3,2,1,2,17061.625,2256,1,0.815683625,1,18,0
2010,32,12,1,2,1,1,2,,80290,2256,2,0.623183757,1,30,
2010,68,14,1,1,1,3,2,4,,2256,2,1.120954679,1,60,1
2010,63,13,1,1,1,5,2,,54195.75,2256,2,1.234598514,1,60,
2010,80,18,3,2,1,2,2,3,,2257,1,0.653870657,1,80,0
2010,72,18,3,1,1,0,2,5,80290,2257,1,1.192475698,1,70,1
2010,24,10,0,1,3,2,1,3,22079.75,2257,2,2.248428469,1,18,0
2010,37,16,3,2,1,2,1,,,2257,2,0.626766045,1,30,
2010,45,8,0,1,1,2,1,3,30108.75,2257,2,0.8413228,1,40,0
2010,52,8,0,1,3,2,1,3,30108.75,2257,2,4.764430147,1,50,0
2010,49,16,4,1,1,3,1,,152908.1861,2258,1,2.784094794,1,40,
2010,42,3,0,1,1,1,1,3,44159.5,2258,1,1.984165501,1,40,0
2010,42,11,0,1,1,1,2,3,17061.625,2258,1,0.521096338,1,40,0
2010,37,12,1,2,1,7,2,,66239.25,2258,2,1.133061377,1,30,
2010,35,12,1,2,1,0,2,3,80290,2258,2,1.080188219,1,30,0
2010,51,14,1,1,1,5,1,,152908.1861,2259,1,1.060944504,1,50,
2010,66,16,4,1,3,5,1,3,66239.25,2259,1,1.90907482,1,60,0
2010,28,15,1,1,1,5,2,4,96348,2259,1,1.894411398,1,18,1
2010,39,14,1,2,1,2,2,,66239.25,2259,1,0.463841739,1,30,
2010,47,17,1,1,1,3,2,,152908.1861,2259,1,1.172708529,1,40,
2010,48,16,3,1,1,5,1,3,152908.1861,2259,2,0.671979325,1,40,0
2010,49,20,4,2,3,4,1,3,152908.1861,2259,2,3.104351205,1,40,0
